ano;sigla_uf;cnae_2;descricao_cnae;grupo;tratado;total_vinculos_ativos;massa_salarial;post;salario_medio
2019;AC;10112;Abate de reses, exceto suínos;sensibilidade;FALSE;953;1688134,5999999994;FALSE;1,77138992654774e+03
2019;AC;10121;Abate de suínos, aves e outros pequenos animais;sensibilidade;FALSE;449;652497,4300000007;FALSE;1,45322367483296e+03
2019;AC;10139;Fabricação de produtos de carne;sensibilidade;FALSE;75;93462,0900000000;FALSE;1,24616120000000e+03
2019;AC;10201;Preservação do pescado e fabricação de produtos do pescado;sensibilidade;FALSE;42;50202,8700000000;FALSE;1,19530642857143e+03
2019;AC;10317;Fabricação de conservas de frutas;sensibilidade;FALSE;79;50173,0300000000;FALSE;6,35101645569620e+02
2019;AC;10325;Fabricação de conservas de legumes e outros vegetais;sensibilidade;FALSE;5;4091,8000000000;FALSE;8,18360000000000e+02
2019;AC;10333;Fabricação de sucos de frutas, hortaliças e legumes;sensibilidade;FALSE;10;10947,9100000000;FALSE;1,09479100000000e+03
2019;AC;10414;Fabricação de óleos vegetais em bruto, exceto óleo de milho;sensibilidade;FALSE;15;28765,0200000000;FALSE;1,91766800000000e+03
2019;AC;10511;Preparação do leite;sensibilidade;FALSE;48;83533,6800000000;FALSE;1,74028500000000e+03
2019;AC;10520;Fabricação de laticínios;sensibilidade;FALSE;35;48071,7200000000;FALSE;1,37347771428571e+03
2019;AC;10538;Fabricação de sorvetes e outros gelados comestíveis;sensibilidade;FALSE;120;146152,5399999999;FALSE;1,21793783333333e+03
2019;AC;10635;Fabricação de farinha de mandioca e derivados;sensibilidade;FALSE;3;4202,3600000000;FALSE;1,40078666666667e+03
2019;AC;10643;Fabricação de farinha de milho e derivados, exceto óleos de milho;sensibilidade;FALSE;6;8991,6000000000;FALSE;1,49860000000000e+03
2019;AC;10660;Fabricação de alimentos para animais;sensibilidade;FALSE;56;82173,6700000000;FALSE;1,46738696428571e+03
2019;AC;10694;Moagem e fabricação de produtos de origem vegetal não especificados anteriormente;sensibilidade;FALSE;222;334487,6499999999;FALSE;1,50670112612613e+03
2019;AC;10724;Fabricação de açúcar refinado;sensibilidade;FALSE;50;8793,8900000000;FALSE;1,75877800000000e+02
2019;AC;10813;Torrefação e moagem de café;sensibilidade;FALSE;80;109394,2700000000;FALSE;1,36742837500000e+03
2019;AC;10911;Fabricação de produtos de panificação;sensibilidade;FALSE;239;276946,7399999999;FALSE;1,15877297071130e+03
2019;AC;10929;Fabricação de biscoitos e bolachas;sensibilidade;FALSE;96;220075,5899999999;FALSE;2,29245406250000e+03
2019;AC;10945;Fabricação de massas alimentícias;sensibilidade;FALSE;2;2037,5800000000;FALSE;1,01879000000000e+03
2019;AC;10953;Fabricação de especiarias, molhos, temperos e condimentos;sensibilidade;FALSE;8;6274,8100000000;FALSE;7,84351250000000e+02
2019;AC;10961;Fabricação de alimentos e pratos prontos;sensibilidade;FALSE;0;0,0000000000;FALSE;NA
